127.0.0.1 - - [27/Sep/2022:00:05:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2022:00:05:53 +0900] "GET /JSPBook/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [27/Sep/2022:00:06:11 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:29:33 +0900] "GET /JSPBook/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:29:44 +0900] "GET /JSPBook/scripting.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:41:44 +0900] "GET /JSPBook/declaration.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:42:25 +0900] "GET /JSPBook/declaration01.jsp HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:42:44 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:20 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:21 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:21 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:22 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:22 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:22 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:22 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:22 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:22 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:23 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:23 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:23 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:30 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:43:30 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:45:46 +0900] "GET /JSPBook/ch02/declaration02.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:45:49 +0900] "GET /JSPBook/ch02/declaration02.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:45:49 +0900] "GET /JSPBook/ch02/declaration02.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:46:33 +0900] "GET /JSPBook/ch02/declaration02.jsp HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:48:58 +0900] "GET /JSPBook/ch02/declaration03.jsp HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:49:05 +0900] "GET /JSPBook/ch02/declaration01.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [27/Sep/2022:20:49:19 +0900] "GET /JSPBook/scripting.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:09:28 +0900] "GET /JSPBook/ch02/scriptlet01.jsp HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:13:48 +0900] "GET /JSPBook/scripting.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:56:31 +0900] "GET /JSPBook/ch02/scriptlet02.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:24 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:54 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:55 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:55 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:55 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:55 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:55 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:56 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:56 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:56 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:56 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:56 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:58 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:21:59:59 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:00:01 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:00:01 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:00:01 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:00:01 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:00:02 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:00:02 +0900] "GET /JSPBook/ch02/expresison01.jsp HTTP/1.1" 404 817
